epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,3513.8,0.91452,1.77965,0.91735,1.2091,0.59409,0.43949,0.47303,0.27921,0.55566,0.41048,0.42912,0.23602,1.56349,3.29807,1.81435,1.63641,0.000636762,0.000636762,0.000636762
30,3626.61,0.9601,1.72228,0.95622,1.26156,0.66597,0.45148,0.51597,0.29993,0.64148,0.43561,0.46704,0.26511,1.43595,3.03824,1.67353,1.51816,0.000608468,0.000608468,0.000608468
31,3740.03,0.94013,1.81787,0.91706,1.22133,0.67237,0.52202,0.53403,0.32268,0.63841,0.50077,0.48281,0.27905,1.34663,2.92666,1.57571,1.44031,0.000580174,0.000580174,0.000580174
32,3853.79,0.95705,1.76715,0.87917,1.22066,0.60037,0.56149,0.54769,0.33376,0.5535,0.51407,0.48768,0.272,1.35823,2.94821,1.70726,1.41987,0.00055188,0.00055188,0.00055188
33,3967.28,0.88689,1.65556,0.86422,1.18724,0.65847,0.44538,0.52737,0.33477,0.69191,0.42502,0.48262,0.2787,1.39366,3.12336,1.76648,1.45382,0.000523586,0.000523586,0.000523586
34,4081.7,0.91108,1.63721,0.84994,1.20461,0.67433,0.49829,0.57803,0.36918,0.63837,0.43114,0.48097,0.28988,1.27603,3.12791,1.62193,1.37142,0.000495291,0.000495291,0.000495291
35,4194.05,0.85819,1.5393,0.77494,1.18204,0.77971,0.49132,0.5849,0.36538,0.73814,0.46902,0.53122,0.30439,1.30209,2.95864,1.558,1.41682,0.000466997,0.000466997,0.000466997
36,4306.68,0.8774,1.57364,0.79984,1.1681,0.57013,0.50364,0.54238,0.33243,0.52073,0.46387,0.4685,0.27498,1.39294,2.98753,1.56971,1.48118,0.000438703,0.000438703,0.000438703
37,4419.25,0.84875,1.56562,0.78774,1.1434,0.77035,0.43348,0.54122,0.33555,0.51987,0.47674,0.47679,0.27917,1.33669,3.17008,1.53304,1.40864,0.000410409,0.000410409,0.000410409
38,4531.28,0.83872,1.53567,0.78587,1.1841,0.70017,0.49721,0.5817,0.36416,0.67552,0.47912,0.5403,0.29103,1.28451,3.09506,1.49014,1.39526,0.000382115,0.000382115,0.000382115
39,4643.65,0.86682,1.53898,0.7821,1.17991,0.59995,0.50663,0.5763,0.3622,0.5993,0.50102,0.5585,0.2988,1.34082,2.97595,1.47211,1.42229,0.00035382,0.00035382,0.00035382
40,4756.33,0.85821,1.57166,0.78881,1.17825,0.70137,0.51302,0.59319,0.36667,0.70137,0.51302,0.58385,0.32487,1.35831,2.78974,1.49818,1.40265,0.000325526,0.000325526,0.000325526
41,4867.71,0.93068,1.75526,1.01977,1.21189,0.72041,0.52756,0.61091,0.37147,0.73742,0.48034,0.54713,0.3184,1.3341,2.86645,1.51083,1.38754,0.000297232,0.000297232,0.000297232
42,4978.91,0.85882,1.55537,0.85548,1.18342,0.73838,0.49977,0.57628,0.35192,0.76264,0.44073,0.48877,0.28196,1.29908,2.9923,1.64709,1.37889,0.000268938,0.000268938,0.000268938
43,5088.67,0.81066,1.47838,0.80278,1.16981,0.72815,0.486,0.57195,0.35928,0.70182,0.46436,0.51554,0.29108,1.30019,3.02638,1.63361,1.36476,0.000240644,0.000240644,0.000240644
44,5198.68,0.74172,1.38598,0.70419,1.12957,0.75757,0.5277,0.5998,0.39004,0.72677,0.51389,0.55742,0.31283,1.20903,2.77629,1.48593,1.24845,0.000212349,0.000212349,0.000212349
45,5308.36,0.72192,1.33085,0.70156,1.10078,0.60773,0.56592,0.58784,0.38836,0.73211,0.46514,0.54901,0.3154,1.21029,2.64195,1.43855,1.26931,0.000184055,0.000184055,0.000184055
46,5418.42,0.73616,1.34683,0.71488,1.11364,0.66353,0.4878,0.57142,0.37714,0.76665,0.42629,0.53647,0.31436,1.29038,2.62613,1.4411,1.35038,0.000155761,0.000155761,0.000155761
47,5529.1,0.71228,1.32129,0.67198,1.10239,0.7102,0.4995,0.56809,0.3806,0.68491,0.47973,0.52175,0.31184,1.27737,2.66933,1.41034,1.33736,0.000127467,0.000127467,0.000127467
48,5639.02,0.68539,1.29406,0.65737,1.08638,0.66678,0.52487,0.58071,0.38917,0.6931,0.49311,0.5341,0.32355,1.23589,2.65292,1.43497,1.30427,9.91726e-05,9.91726e-05,9.91726e-05
49,5748.45,0.74245,1.33631,0.67147,1.11608,0.70419,0.52768,0.58699,0.39035,0.67768,0.5085,0.54489,0.33175,1.21766,2.69566,1.41153,1.27801,7.08784e-05,7.08784e-05,7.08784e-05
50,5858.93,0.67973,1.25435,0.61015,1.06228,0.68877,0.53119,0.59267,0.39127,0.66129,0.50093,0.5442,0.3354,1.20287,2.70107,1.40052,1.26522,4.25842e-05,4.25842e-05,4.25842e-05
